title,native_title,rating,genres,directors,screenwriters,episodes,aired,aired_on,original_network,duration,content_rat,rank,popularity,watchers
Soundtrack #1(2022),사운드트랙#1,8.3,"['Music', 'Romance']",['Kim Hee Won'],['Ahn Sae Bom'],4,"Mar 23, 2022 - Apr 13, 2022",Wednesday,['Disney+'],44 min.,13+ - Teens 13 or older,#930,#250,"45,853"
Sh**ting Stars(2022),별똥별,8.3,"['Comedy', 'Romance', 'Drama']",['Lee Soo Hyun'],"['Choi Young Woo', 'Choi Yeon Seo']",16,"Apr 22, 2022 - Jun 11, 2022","Friday, Saturday",['tvN'],60 min.,15+ - Teens 15 or older,#1009,#121,"69,459"
The Good Detective(2020),모범형사,8.3,"['Action', 'Thriller', 'Mystery', 'Drama']",['Jo Nam Gook'],['Choi Jin Won'],16,"Jul  6, 2020 - Aug 25, 2020","Monday, Tuesday",['jTBC'],1 hr. 10 min.,15+ - Teens 15 or older,#937,#899,"17,935"
The Veil(2021),검은 태양,8.3,"['Action', 'Thriller', 'Mystery', 'Crime']",['Kim Sung Yong'],['Park Seok Ho'],12,"Sep 17, 2021 - Oct 23, 2021","Friday, Saturday","['MBC', 'Wavve']",1 hr. 10 min.,15+ - Teens 15 or older,#950,#883,"18,425"
Gaus Electronics(2022),가우스전자,8.3,"['Business', 'Comedy', 'Romance', 'Life']",['Park Joon Soo'],"['Kang Go Eun', 'Seo Han Na']",12,"Sep 30, 2022 - Nov  5, 2022","Friday, Saturday","['ENA', 'Genie TV']",50 min.,15+ - Teens 15 or older,#1014,#569,"26,085"
My Roommate Is a Gumiho(2021),간 떨어지는 동거,8.3,"['Comedy', 'Romance', 'Fantasy']",['Nam Sung Woo'],"['Baek Sun Woo', 'Choi Bo Rim']",16,"May 26, 2021 - Jul 15, 2021","Wednesday, Thursday","['iQiyi', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#1006,#86,"85,264"
Mouse: The Theatrical Cut(2021),마우스: 몰아보기,8.4,"['Thriller', 'Mystery', 'Drama', 'Sci-Fi']","['Choi Joon Bae', 'Kang Cheol Woo']",['Choi Ran'],1,"May 10, 2021",Monday,['tvN'],2 hr. 1 min.,18+ Restricted (violence & profanity),#901,#6551,"1,511"
A Bloody Lucky Day(2023),운수 오진 날,8.3,"['Thriller', 'Mystery', 'Psychological', 'Drama']",['Pil Gam Seong'],,10,"Nov 20, 2023 - Dec  8, 2023","Monday, Tuesday","['TVING', 'tvN']",1 hr. 20 min.,18+ Restricted (violence & profanity),#988,#2781,"5,269"
Mouse: Restart(2021),마우스 SP,8.3,['Documentary'],,,1,"Apr  7, 2021",Wednesday,['tvN'],60 min.,Not Yet Rated,#927,#5577,"1,943"
The Uncanny Counter Season 2: Counter Punch(2023),경이로운 소문2: 카운터 펀치,8.3,"['Action', 'Mystery', 'Comedy', 'Supernatural']",['Yoo Seon Dong'],"['Kim Sae Bom', 'Yeo Ji Na']",12,"Jul 29, 2023 - Sep  3, 2023","Saturday, Sunday","['Netflix', 'OCN', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#991,#321,"39,325"
Team Bulldog: Off-duty Investigation(2020),번외수사,8.3,"['Action', 'Mystery', 'Comedy', 'Drama']",['Kang Hyo Jin'],"['Lee Yoo Jin', 'Jung Yoon Sun']",12,"May 23, 2020 - Jun 28, 2020","Saturday, Sunday",['OCN'],1 hr. 10 min.,15+ - Teens 15 or older,#1004,#1834,"8,700"
Yumi's Cells Season 2(2022),유미의 세포들2,8.3,"['Comedy', 'Romance', 'Life']",['Lee Sang Yeob'],"['Song Jae Jung', 'Kim Yoon Joo', 'Kim Kyung Ran']",14,"Jun 10, 2022 - Jul 22, 2022",Friday,['TVING'],1 hr. 5 min.,15+ - Teens 15 or older,#1023,#617,"24,526"
She Makes My Heart Flutter(2022),여자에게 설레는 편,8.3,"['Comedy', 'Romance']",['Soo Not Sue'],['Jo Ah Ra'],5,"Oct 20, 2022 - Nov  6, 2022","Thursday, Sunday",,13 min.,Not Yet Rated,#1078,#2873,"5,073"
