title,native_title,rating,genres,directors,screenwriters,episodes,aired,aired_on,original_network,duration,content_rat,rank,popularity,watchers
Captivating the King(2024),"세작, 매혹된 자들",8.0,"['Historical', 'Romance', 'Drama', 'Melodrama']",['Jo Nam Gook'],['Kim Seon Deok'],16,"Jan 21, 2024 - Mar  3, 2024","Saturday, Sunday","['TVING', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#2453,#1432,"11,370"
Take 1(2022),테이크 원,8.0,"['Music', 'Documentary']",,,7,"Oct 14, 2022",Friday,['Netflix'],55 min.,Not Yet Rated,#2494,#8987,880
She Would Never Know(2021),선배 그 립스틱 바르지 마요,8.0,"['Business', 'Comedy', 'Romance', 'Drama']",['Lee Dong Yoon'],['Chae Yoon'],16,"Jan 18, 2021 - Mar  9, 2021","Monday, Tuesday","['iQiyi', 'jTBC']",1 hr. 5 min.,15+ - Teens 15 or older,#2527,#244,"46,260"
Shadow Detective(2022),형사록,8.0,"['Mystery', 'Crime', 'Drama']",['Han Dong Hwa'],,8,"Oct 26, 2022 - Nov 16, 2022",Wednesday,"['Disney+', 'Hulu']",57 min.,15+ - Teens 15 or older,#2544,#3301,"4,202"
The Killing Vote(2023),국민사형투표,8.0,"['Thriller', 'Mystery', 'Horror']",['Park Shin Woo'],['Jo Yoon Young'],12,"Aug 10, 2023 - Nov 16, 2023",Thursday,"['Amazon Prime', 'SBS']",60 min.,15+ - Teens 15 or older,#2485,#801,"19,912"
Drama Special Season 13: Let's Meet in an Unfamiliar Season(2022),드라마 스페셜: 낯선 계절에 만나,8.0,"['Romance', 'Drama']",['Lee Min Soo'],['Yeo Myung Jae'],1,"Dec  8, 2022",Thursday,['KBS2'],1 hr. 4 min.,Not Yet Rated,#2471,#11804,523
Never Give Up(2022),구필수는 없다,8.0,"['Comedy', 'Life', 'Drama']",['Choi Do Hoon'],"['Son Geun Joo', 'Lee Hae Ri']",16,"May  4, 2022 - Jun 23, 2022","Wednesday, Thursday","['ENA', 'Genie TV']",1 hr. 12 min.,15+ - Teens 15 or older,#2539,#4354,"2,860"
Here's My Plan(2021),목표가 생겼다,8.0,"['Romance', 'Drama']",['Shim So Yeon'],['Ryoo Sol Ah'],4,"May 19, 2021 - May 27, 2021","Wednesday, Thursday",['MBC'],58 min.,15+ - Teens 15 or older,#2509,#2533,"5,843"
Brain Works(2023),두뇌공조,8.0,"['Mystery', 'Comedy']",['Lee Jin Seo'],['Park Kyung Soon'],16,"Jan  2, 2023 - Feb 28, 2023","Monday, Tuesday",['KBS2'],1 hr. 10 min.,15+ - Teens 15 or older,#2538,#2189,"6,989"
Dinner Mate(2020),저녁 같이 드실래요?,8.0,"['Comedy', 'Romance', 'Life', 'Drama']","['Go Jae Hyun', 'Park Bong Sub']",['Kim Joo'],32,"May 25, 2020 - Jul 14, 2020","Monday, Tuesday","['iQiyi', 'MBC']",35 min.,15+ - Teens 15 or older,#2563,#695,"22,257"
Imitation(2021),이미테이션,8.0,"['Music', 'Comedy', 'Romance', 'Drama']",['Han Hyun Hee'],"['Kim Min Jung', 'Choi Sun Young']",12,"May  7, 2021 - Jul 23, 2021",Friday,"['KBS2', 'Viki']",1 hr. 10 min.,15+ - Teens 15 or older,#2532,#374,"35,705"
"Hello, Me!(2021)",안녕? 나야!,7.9,"['Comedy', 'Romance', 'Life', 'Fantasy']",['Lee Hyun Suk'],['Yoo Song Yi'],16,"Feb 17, 2021 - Apr  8, 2021","Wednesday, Thursday","['KBS2', 'Netflix']",1 hr. 10 min.,15+ - Teens 15 or older,#2668,#844,"19,207"
Real:Time:Love Season 2(2020),리얼:타임:러브2,7.9,"['Comedy', 'Romance', 'Youth', 'Drama']",,,8,"Jan 24, 2020 - Mar 13, 2020",Friday,['vLive'],15 min.,15+ - Teens 15 or older,#2649,#4481,"2,728"
Our Dating Sim(2023),우리 연애 시뮬레이션,7.9,"['Business', 'Romance']",['Lim Hyun Hee'],['Lee Yun Seul'],8,"Mar  9, 2023 - Mar 30, 2023",Thursday,,15 min.,13+ - Teens 13 or older,#2735,#433,"31,867"
Island Part 2(2023),아일랜드 파트2,8.0,"['Action', 'Thriller', 'Horror', 'Fantasy']",['Bae Jong'],['Jang Yoon Mi'],6,"Feb 24, 2023 - Mar 10, 2023",Friday,['TVING'],45 min.,15+ - Teens 15 or older,#2554,#897,"17,958"
Undercover(2021),언더커버,8.0,"['Action', 'Thriller', 'Mystery', 'Crime']","['Song Hyun Wook', 'Park So Yeon']","['Jung Hye Eun', 'Song Ja Hun', 'Baek Chul Hyun']",16,"Apr 23, 2021 - Jun 12, 2021","Friday, Saturday",['jTBC'],1 hr. 15 min.,15+ - Teens 15 or older,#2560,#2069,"7,492"
"Poong, the Joseon Psychiatrist Season 2(2023)",조선 정신과 의사 유세풍 시즌 2,7.9,"['Historical', 'Mystery', 'Romance', 'Medical']","['Park Won Gook', 'Kang Hee Ju']","['Lee Bom', 'Park Seul Ki']",10,"Jan 11, 2023 - Feb  9, 2023","Wednesday, Thursday",['tvN'],1 hr. 15 min.,Not Yet Rated,#2627,#3080,"4,685"
Sing My Crush(2023),따라바람,7.9,"['Music', 'Comedy', 'Romance', 'Youth']",['So Joon Moon'],['Lee Do Ah'],8,"Aug  2, 2023",Wednesday,,25 min.,15+ - Teens 15 or older,#2691,#1130,"14,707"
Fall for You(2022),네가 빠진 세계,7.9,"['Romance', 'Youth', 'Fantasy']",['Kim Bo Ra'],['Shin So  Young'],20,"Oct 20, 2022 - Dec 23, 2022","Thursday, Friday",['EBS'],26 min.,G - All Ages,#2723,#3616,"3,747"
"Poong, the Joseon Psychiatrist(2022)",조선 정신과 의사 유세풍,8.0,"['Historical', 'Mystery', 'Romance', 'Medical']","['Park Won Gook', 'Kang Hee Ju']","['Lee Bom', 'Park Seul Ki']",12,"Aug  1, 2022 - Sep  6, 2022","Monday, Tuesday",['tvN'],1 hr. 15 min.,15+ - Teens 15 or older,#2592,#1541,"10,542"
The Great Shaman Ga Doo Shim(2021),우수무당 가두심,7.9,"['Mystery', 'Romance', 'Youth', 'Supernatural']",['Park Ho Jin'],,12,"Jul 30, 2021 - Oct  8, 2021",Friday,"['Daum Kakao TV', 'Viki']",20 min.,15+ - Teens 15 or older,#2724,#776,"20,342"
A Killer Paradox(2024),살인자o난감,7.9,"['Thriller', 'Mystery', 'Psychological', 'Comedy']",['Lee Chang Hee'],['Kim Da Min'],8,"Feb  9, 2024",Friday,['Netflix'],54 min.,18+ Restricted (violence & profanity),#2896,#472,"29,575"
Twenty-Twenty(2020),트웬티 트웬티,8.0,"['Romance', 'Youth', 'Drama']",['Han Soo Ji'],['Sung So Eun'],20,"Aug 15, 2020 - Oct 21, 2020","Wednesday, Saturday","['jTBC', 'Naver TV Cast', 'vLive']",21 min.,15+ - Teens 15 or older,#2618,#1196,"14,042"
Joseon Attorney: A Morality(2023),조선변호사,7.9,"['Historical', 'Law', 'Romance', 'Drama']","['Lee Han Joon', 'Kim Seung Ho']","['Choi Jin Young', 'Jung Ho Rak']",16,"Mar 31, 2023 - May 20, 2023","Friday, Saturday",['MBC'],1 hr. 10 min.,15+ - Teens 15 or older,#2669,#1200,"13,934"
A First Love Story(2021),퍼스트러브스토리,7.9,"['Romance', 'Life']",,,2,"Aug 27, 2021 - Sep 15, 2021","Wednesday, Friday",,8 min.,Not Yet Rated,#2888,#1445,"11,264"
Where Your Eyes Linger(2020),너의시선이머무는곳에,7.9,"['Romance', 'Youth', 'Drama', 'Melodrama']",['Hwang Da Seul'],['Shin Yoo'],8,"May 22, 2020 - Jun 12, 2020",Friday,['Viki'],10 min.,13+ - Teens 13 or older,#2884,#166,"58,364"
Tracer(2022),트레이서,7.9,"['Action', 'Thriller', 'Mystery', 'Drama']",['Lee Seung Young'],['Kim Hyun Jung'],8,"Jan  7, 2022 - Jan 29, 2022","Friday, Saturday","['MBC', 'Wavve']",60 min.,15+ - Teens 15 or older,#2827,#2284,"6,660"
So I Married an Anti-Fan(2021),그래서 나는 안티팬과 결혼했다,7.9,"['Music', 'Comedy', 'Romance']",['Kang Cheol Woo'],"['Kim Eun Jung', 'Nam Ji Yeon']",16,"Apr 30, 2021 - Jun 19, 2021","Friday, Saturday","['Amazon Prime', 'iQiyi', 'Naver TV Cast', 'Viki', 'vLive']",1 hr. 2 min.,15+ - Teens 15 or older,#2690,#185,"54,011"
Drama Special Season 13: Nineteen Otters(2022),드라마 스페셜: 열아홉 해달들,7.9,"['Romance', 'Youth', 'Drama']",['Kim Soo Jin'],['Go Woo Jin'],1,"Dec  7, 2022",Thursday,['KBS2'],1 hr. 4 min.,15+ - Teens 15 or older,#2652,#6172,"1,659"
Decoy: Part 1(2023),미끼 파트1,7.9,"['Thriller', 'Mystery', 'Crime', 'Drama']",['Kim Hong Seon'],['Kim Jin Wook'],6,"Jan 27, 2023 - Feb 10, 2023",Friday,['COUPANG TV'],1 hr. 6 min.,Not Yet Rated,#2736,#3533,"3,847"
A Year-End Medley: Extended Version(2022),해피 뉴 이어,7.9,"['Romance', 'Drama', 'Melodrama']",,,6,"Jan 26, 2022",Wednesday,,30 min.,Not Yet Rated,#2761,#5619,"1,922"
Doctor Lawyer(2022),닥터 로이어,7.9,"['Thriller', 'Law', 'Drama', 'Medical']","['Lee Yong Seok', 'Lee Dong Hyun']",['Jang Hong Chul'],16,"Jun  3, 2022 - Jul 23, 2022","Friday, Saturday",['MBC'],1 hr. 3 min.,15+ - Teens 15 or older,#2739,#1409,"11,633"
Dali and the Cocky Prince Special(2021),달리와 감자탕 SP,7.9,['Romance'],,,1,"Nov 17, 2021",Wednesday,['KBS2'],60 min.,Not Yet Rated,#2737,#10065,708
School 2021(2021),학교 2021,7.9,"['Romance', 'Youth', 'Drama', 'Melodrama']",['Kim Min Tae'],"['Dong Hee Seon', 'Jo Ah Ra']",16,"Nov 24, 2021 - Jan 13, 2022","Wednesday, Thursday","['KBS2', 'Viki']",1 hr. 3 min.,15+ - Teens 15 or older,#2939,#669,"23,137"
Dr. Brain(2021),Dr.브레인,7.9,"['Thriller', 'Mystery', 'Sci-Fi', 'Medical']",['Kim Jee Woon'],"['Ko Yeong Jae', 'Kim Jin A']",6,"Nov  4, 2021 - Dec 10, 2021",Friday,,60 min.,15+ - Teens 15 or older,#2788,#2237,"6,832"
Once Upon a Small Town(2022),어쩌다 전원일기,7.9,"['Comedy', 'Romance', 'Life']",['Kwon Seok Jang'],['Baek Eun Kyung'],12,"Sep  5, 2022 - Sep 28, 2022","Monday, Tuesday, Wednesday",['Daum Kakao TV'],34 min.,13+ - Teens 13 or older,#2824,#447,"30,706"
Hope or Dope 2(2022),소년비행2,7.9,"['Youth', 'Drama']",['Jo Yong Ik'],['Jung Soo Yoon'],8,"May 31, 2022",Tuesday,,30 min.,18+ Restricted (violence & profanity),#2938,#3659,"3,672"
Today's Webtoon(2022),오늘의 웹툰,7.9,"['Business', 'Comedy', 'Life', 'Drama']","['Jo Soo Won', 'Kim Young Hwan']","['Jo Hyun Joo', 'Cho Ye Rang', 'Lee Jae Eun']",16,"Jul 29, 2022 - Sep 17, 2022","Friday, Saturday","['SBS', 'Viki', 'ViuTV']",1 hr. 10 min.,15+ - Teens 15 or older,#3045,#664,"23,204"
My Man Is Cupid(2023),내 남자는 큐피드,7.9,"['Mystery', 'Comedy', 'Romance', 'Fantasy']","['Myung Hyun Woo', 'Nam Tae Jin']",['Heo Sung Hee'],16,"Dec  1, 2023 - Jan 20, 2024","Friday, Saturday",['Amazon Prime'],1 hr. 2 min.,13+ - Teens 13 or older,#2883,#604,"24,871"
Police University(2021),경찰수업,7.9,"['Mystery', 'Comedy', 'Romance', 'Drama']",['Yoo Kwan Mo'],['Moon Jung Min'],16,"Aug  9, 2021 - Oct  5, 2021","Monday, Tuesday","['KBS2', 'Wavve']",1 hr. 10 min.,15+ - Teens 15 or older,#3023,#580,"25,711"
Reincarnation Love(2022),환생연애,7.9,"['Comedy', 'Romance', 'Drama']",,,1,"Jan  3, 2022",Monday,,6 min.,Not Yet Rated,#3019,#3175,"4,447"
Kiss Goblin(2020),키스요괴,7.9,"['Comedy', 'Romance', 'Fantasy', 'Supernatural']",['Kim Tae Wook'],,12,"Jul 28, 2020 - Sep  3, 2020","Tuesday, Thursday","['Naver TV Cast', 'vLive']",12 min.,15+ - Teens 15 or older,#3125,#720,"21,599"
Battle for Happiness(2023),행복배틀,7.9,"['Thriller', 'Mystery', 'Drama']",['Kim Yoon Cheol'],['Joo Young Ha'],16,"May 31, 2023 - Jul 20, 2023","Wednesday, Thursday","['Amazon Prime', 'ENA', 'TVING']",60 min.,Not Yet Rated,#3056,#3527,"3,854"
Moebius: The Veil(2021),뫼비우스: 검은 태양,7.9,"['Action', 'Thriller', 'Mystery', 'Crime']",,,2,"Oct 29, 2021 - Oct 30, 2021","Friday, Saturday","['MBC', 'Wavve']",55 min.,18+ Restricted (violence & profanity),#3028,#5512,"1,981"
My Lovely Boxer(2023),순정복서,7.9,"['Romance', 'Youth', 'Drama', 'Sports']","['Hong Eun Mi', 'Choi Sang Yeol']",['Kim Min Joo'],12,"Aug 21, 2023 - Oct  2, 2023","Monday, Tuesday",['KBS2'],1 hr. 10 min.,15+ - Teens 15 or older,#3020,#1778,"8,975"
Be My Boyfriend(2021),오늘부터 계약연애,7.9,"['Comedy', 'Romance', 'Youth', 'Drama']",['Lee Si Young'],['Han Song Yi'],15,"Feb 25, 2021 - Apr 15, 2021","Tuesday, Thursday",['Naver TV Cast'],13 min.,13+ - Teens 13 or older,#3113,#919,"17,622"
Good Job(2022),굿잡,7.9,"['Mystery', 'Comedy', 'Romance', 'Fantasy']",['Kang Min Gu'],"['Kim Jung Ae', 'Kwon Hee Kyung']",12,"Aug 24, 2022 - Sep 29, 2022","Wednesday, Thursday","['ENA', 'Viki']",1 hr. 4 min.,15+ - Teens 15 or older,#3002,#1132,"14,655"
Joseon Exorcist(2021),조선구마사,7.9,"['Action', 'Historical', 'Drama', 'Fantasy']","['Shin Kyung Soo', 'Nam Tae Jin']",['Park Kye Ok'],2,"Mar 22, 2021 - Mar 23, 2021","Monday, Tuesday","['SBS', 'Viki']",1 hr. 10 min.,18+ Restricted (violence & profanity),#2994,#2790,"5,256"
It's Beautiful Now(2022),현재는 아름다워,7.9,"['Romance', 'Drama', 'Family', 'Melodrama']",['Kim Sung Geun'],['Ha Myung Hee'],50,"Apr  2, 2022 - Sep 18, 2022","Saturday, Sunday",['KBS2'],1 hr. 10 min.,15+ - Teens 15 or older,#2995,#1928,"8,203"
Drama Stage Season 3: Everyone Is There(2020),드라마 스테이지 2020 - 모두 그곳에 있다,7.9,"['Youth', 'Drama']",,,1,"Jan 15, 2020",Wednesday,['tvN'],1 hr. 9 min.,Not Yet Rated,#3107,#3373,"4,096"
Let Me Be Your Knight(2021),너의 밤이 되어줄게,7.9,"['Music', 'Comedy', 'Romance', 'Drama']",['Ahn Ji Sook'],"['Shin Seo Ha', 'Hae Yeon', 'Seo Jung Eun', 'Yoo So Won']",12,"Nov  7, 2021 - Jan 24, 2022",Sunday,"['iQiyi', 'SBS']",1 hr. 10 min.,15+ - Teens 15 or older,#3026,#1313,"12,662"
Lovestruck in the City(2020),도시남녀의 사랑법,7.9,"['Romance', 'Life', 'Youth', 'Drama']",['Park Shin Woo'],['Jung Hyun Jung'],17,"Dec 22, 2020 - Feb 16, 2021","Tuesday, Friday","['Daum Kakao TV', 'Netflix']",33 min.,15+ - Teens 15 or older,#3073,#197,"52,203"
Scripting Your Destiny(2021),당신의 운명을 쓰고 있습니다,7.9,"['Comedy', 'Romance', 'Fantasy']",['Kim Byung Soo'],['Eun Seon Woo'],10,"Mar 26, 2021",Friday,['TVING'],25 min.,15+ - Teens 15 or older,#3037,#1497,"10,848"
Love Tractor(2023),트랙터는 사랑을 싣고,7.9,"['Comedy', 'Romance', 'Life']",['Yang Kyung Hee'],['Choi Yi Yoon'],8,"Jun  7, 2023 - Jun 21, 2023",Wednesday,,25 min.,13+ - Teens 13 or older,#3220,#857,"18,999"
Tracer Season 2(2022),트레이서 시즌 2,7.8,"['Action', 'Thriller', 'Mystery', 'Drama']",['Lee Seung Young'],['Kim Hyun Jung'],8,"Feb 18, 2022",Friday,"['MBC', 'Wavve']",1 hr. 10 min.,15+ - Teens 15 or older,#3292,#5149,"2,193"
Mental Coach Jegal(2022),멘탈코치 제갈길,7.9,"['Comedy', 'Drama', 'Sports']",['Son Jung Hyun'],['Kim Ban Di'],16,"Sep 12, 2022 - Nov  1, 2022","Monday, Tuesday",['tvN'],1 hr. 10 min.,15+ - Teens 15 or older,#3129,#3392,"4,064"
Mr. Heart Special(2020),Mr.하트SP,7.8,['Documentary'],,,1,"Oct 14, 2020",,['Tencent Video'],5 min.,15+ - Teens 15 or older,#3283,#5735,"1,853"
Money Game(2020),머니게임,7.9,"['Mystery', 'Business', 'Drama', 'Political']",['Kim Sang Ho'],['Lee Young Mi'],16,"Jan 15, 2020 - Mar  5, 2020","Wednesday, Thursday",['tvN'],1 hr. 10 min.,15+ - Teens 15 or older,#3099,#4120,"3,105"
Drama Special Season 12: The Palace(2021),드라마 스페셜 - 그녀들,7.8,['Historical'],['Lee Woong Hee'],['Kang Han'],1,"Dec  3, 2021",Friday,['KBS2'],1 hr. 5 min.,Not Yet Rated,#3473,#12713,452
Handmade Love(2020),핸드메이드 러브,7.9,"['Romance', 'Fantasy']",['Ko Jae Hong'],,8,"Dec 11, 2020 - Jan  5, 2021","Tuesday, Friday",['tvN'],19 min.,15+ - Teens 15 or older,#3230,#2159,"7,088"
Good Casting(2020),굿 캐스팅,7.8,"['Action', 'Mystery', 'Comedy', 'Crime']",['Choi Young Hoon'],['Park Ji Ha'],16,"Apr 27, 2020 - Jun 16, 2020","Monday, Tuesday",['SBS'],1 hr. 5 min.,15+ - Teens 15 or older,#3295,#1675,"9,683"
Hope or Dope(2022),소년비행,7.9,"['Crime', 'Youth', 'Drama']",['Jo Yong Ik'],['Jung Soo Yoon'],10,"Mar 25, 2022",Friday,,35 min.,18+ Restricted (violence & profanity),#3177,#2154,"7,113"
The One and Only(2021),한 사람만,7.9,"['Mystery', 'Romance', 'Drama', 'Melodrama']",['Oh Hyun Jong'],['Moon Jung Min'],16,"Dec 20, 2021 - Feb  8, 2022","Monday, Tuesday",['jTBC'],1 hr. 10 min.,15+ - Teens 15 or older,#3258,#1014,"16,262"
River Where the Moon Rises(2021),달이 뜨는 강,7.9,"['Action', 'Historical', 'Romance', 'Political']",['Yoon Sang Ho'],['Han Ji Hoon'],20,"Feb 15, 2021 - Apr 20, 2021","Monday, Tuesday","['KBS2', 'Viki', 'ViuTV']",1 hr. 5 min.,15+ - Teens 15 or older,#3202,#869,"18,796"
The Matchmakers(2023),혼례대첩,7.8,"['Historical', 'Comedy', 'Romance']",['Hwang Seung Gi'],['Ha Soo Jin'],16,"Oct 30, 2023 - Dec 25, 2023","Monday, Tuesday","['KBS2', 'Viki']",1 hr. 10 min.,15+ - Teens 15 or older,#3315,#1067,"15,637"
Decoy: Part 2(2023),미끼 파트2,7.8,"['Thriller', 'Mystery', 'Crime', 'Drama']",['Kim Hong Seon'],['Kim Jin Wook'],6,"Apr  7, 2023 - Apr 21, 2023",Friday,['COUPANG TV'],58 min.,Not Yet Rated,#3305,#5593,"1,934"
Secret Royal Inspector & Joy(2021),어사와 조이,7.8,"['Historical', 'Mystery', 'Comedy', 'Romance']",['Yoo Jong Sun'],['Lee Jae Yoon'],16,"Nov  8, 2021 - Dec 28, 2021","Monday, Tuesday",['tvN'],60 min.,15+ - Teens 15 or older,#3454,#840,"19,243"
The Cursed(2020),방법,7.8,"['Thriller', 'Mystery', 'Horror', 'Supernatural']",['Kim Yong Wan'],['Yeon Sang Ho'],12,"Feb 10, 2020 - Mar 17, 2020","Monday, Tuesday",['tvN'],1 hr. 3 min.,15+ - Teens 15 or older,#3325,#1908,"8,354"
Can You Deliver Time? 2002(2021),시간도 배달이 되나요 2002,7.8,"['Sci-Fi', 'Fantasy']",,,8,"Sep 10, 2021 - Oct 29, 2021",Friday,,15 min.,Not Yet Rated,#3287,#8157,"1,047"
Ga Doo Ri’s Sushi Restaurant(2020),가두리 횟집,7.8,"['Food', 'Business', 'Comedy', 'Romance']",,['Jang Yoo Yeon'],12,"Jun  9, 2020 - Jul 16, 2020","Tuesday, Thursday","['Naver TV Cast', 'vLive']",18 min.,15+ - Teens 15 or older,#3486,#1871,"8,529"
Eve(2022),이브,7.8,"['Romance', 'Drama', 'Melodrama']",['Park Bong Sub'],['Yoon Young Mi'],16,"Jun  1, 2022 - Jul 21, 2022","Wednesday, Thursday",['tvN'],1 hr. 7 min.,18+ Restricted (violence & profanity),#3343,#561,"26,375"
Numbers(2023),넘버스: 빌딩숲의 감시자들,7.8,"['Action', 'Thriller', 'Mystery', 'Drama']",['Kim Chil Bong'],"['Oh Hye Seok', 'Jung An']",12,"Jun 23, 2023 - Jul 29, 2023","Friday, Saturday","['MBC', 'Wavve']",60 min.,15+ - Teens 15 or older,#3407,#1342,"12,306"
Timing(2020),타이밍,7.8,"['Romance', 'Youth', 'Drama']",,"['Kim Ji Suk', 'Yoo In Young']",4,"Apr 19, 2020 - Apr 26, 2020",,['jTBC'],15 min.,G - All Ages,#3555,#5476,"1,997"
The Mermaid Prince: The Beginning(2020),인어왕자: 더 비기닝,7.8,"['Mystery', 'Romance', 'Youth', 'Drama']",,,10,"Nov 11, 2020 - Dec 10, 2020","Wednesday, Thursday",,14 min.,15+ - Teens 15 or older,#3483,#1629,"9,987"
Delightfully Deceitful(2023),이로운 사기,7.8,"['Comedy', 'Crime', 'Drama']",['Lee Soo Hyun'],['Han Woo Joo'],16,"May 29, 2023 - Jul 18, 2023","Monday, Tuesday",['tvN'],1 hr. 10 min.,15+ - Teens 15 or older,#3443,#1236,"13,516"
Anna(2022),안나,7.8,"['Thriller', 'Drama']",['Lee Joo Young'],,6,"Jun 24, 2022 - Jul  8, 2022",Friday,['COUPANG TV'],50 min.,15+ - Teens 15 or older,#3392,#1003,"16,326"
My Dangerous Wife(2020),나의 위험한 아내,7.8,"['Thriller', 'Psychological', 'Drama']","['Lee Hyung Min', 'Kim Young Hwan']",['Hwang Da Eun'],16,"Oct  5, 2020 - Nov 24, 2020","Monday, Tuesday","['MBN', 'Wavve']",1 hr. 10 min.,18+ Restricted (violence & profanity),#3694,#3483,"3,935"
"Cheat On Me, if You Can(2020)",바람피면 죽는다,7.8,"['Thriller', 'Mystery', 'Comedy', 'Romance']","['Kim Min Tae', 'Kim Hyoung Seok']",['Lee Sung Min'],16,"Dec  2, 2020 - Jan 28, 2021","Wednesday, Thursday","['KBS2', 'Wavve']",1 hr. 5 min.,15+ - Teens 15 or older,#3546,#1456,"11,167"
When My Love Blooms(2020),화양연화,7.8,"['Romance', 'Life', 'Drama', 'Family']",['Son Jung Hyun'],['Jun Hee Young'],16,"Apr 25, 2020 - Jun 14, 2020","Saturday, Sunday",['tvN'],60 min.,15+ - Teens 15 or older,#3495,#969,"16,744"
Roommates of Poongduck 304(2022),풍덕빌라 304호의 사정,7.8,"['Business', 'Romance']",['Teddy Hwang'],['No Ga Jung'],8,"Oct 13, 2022 - Nov  3, 2022",Thursday,,25 min.,13+ - Teens 13 or older,#3496,#493,"28,802"
IN-SEOUL Season 2(2020),인서울 2,7.8,"['Romance', 'Youth', 'Drama']",['Im Ji Eun'],"['Jung Soo Yoon', 'Kim Hee Won']",12,"Jun 12, 2020 - Jul 21, 2020","Tuesday, Friday","['jTBC', 'Naver TV Cast', 'vLive']",15 min.,15+ - Teens 15 or older,#3718,#5349,"2,081"
Delivery Man(2023),딜리버리맨,7.8,"['Mystery', 'Comedy', 'Romance', 'Supernatural']","['Kang Sol', 'Park Dae Hee']","['Park Hye Young', 'Han Bo Kyung', 'Joo Hyo Jin']",12,"Mar  1, 2023 - Apr  6, 2023","Wednesday, Thursday","['ENA', 'Genie TV', 'ViuTV']",1 hr. 10 min.,Not Yet Rated,#3644,#1444,"11,277"
The Game: Towards Zero(2020),더 게임: 0시를 향하여,7.8,"['Thriller', 'Mystery', 'Psychological', 'Supernatural']",['Jang Joon Ho'],['Lee Ji Hyo'],32,"Jan 22, 2020 - Mar 12, 2020","Wednesday, Thursday",['MBC'],30 min.,15+ - Teens 15 or older,#3607,#1074,"15,542"
Adult Trainee(2021),어른연습생,7.8,"['Comedy', 'Romance', 'Youth']",['Yoo Hak Chan'],,7,"Nov 12, 2021 - Nov 26, 2021",Friday,['TVING'],40 min.,Not Yet Rated,#3752,#644,"23,835"
Kkondae  Intern(2020),꼰대인턴,7.8,"['Business', 'Comedy', 'Life', 'Drama']",['Nam Sung Woo'],['Shin So Ra'],24,"May 20, 2020 - Jul  1, 2020","Wednesday, Thursday","['MBC', 'Wavve']",35 min.,15+ - Teens 15 or older,#3661,#1838,"8,662"
Girlfriend Project Day 1(2022),오늘부터 여자친구,7.8,"['Romance', 'Youth']",,,4,"Aug 19, 2022 - Sep  2, 2022",Friday,,9 min.,Not Yet Rated,#3614,#3583,"3,784"
CHIP-IN(2020),십시일반,7.8,"['Thriller', 'Mystery', 'Comedy', 'Melodrama']",['Jin Chang Gyu'],['Choi Kyung'],8,"Jul 22, 2020 - Aug 13, 2020","Wednesday, Thursday",['MBC'],60 min.,15+ - Teens 15 or older,#3545,#3631,"3,717"
How to Buy a Friend(2020),계약우정,7.8,"['Mystery', 'Comedy', 'Romance', 'Drama']",['Yoo Young Eun'],,8,"Apr  6, 2020 - Apr 14, 2020","Monday, Tuesday",['KBS2'],35 min.,15+ - Teens 15 or older,#3726,#1580,"10,310"
Doona!(2023),이두나!,7.8,"['Romance', 'Youth', 'Drama']",['Lee Jeong Hyo'],['Jang Yoo Ha'],9,"Oct 20, 2023",Friday,['Netflix'],50 min.,15+ - Teens 15 or older,#3568,#270,"43,731"
Forest(2020),포레스트,7.8,"['Business', 'Psychological', 'Romance', 'Medical']",['Oh Jong Rok'],['Lee Sun Young'],32,"Jan 29, 2020 - Mar 19, 2020","Wednesday, Thursday",['KBS2'],31 min.,15+ - Teens 15 or older,#3611,#722,"21,517"
tvN O'PENing: Shared Office Hookup(2022),오피스에서 뭐하Share?,7.8,"['Comedy', 'Romance']",['Kim Kang Kyu'],['Choi Bo Yoon'],2,"May  2, 2022 - May  3, 2022","Monday, Tuesday",['tvN'],1 hr. 15 min.,18+ Restricted (violence & profanity),#3591,#6728,"1,446"
The Temperature of Language: Our Nineteen(2020),언어의 온도: 우리의 열아홉,7.8,"['Romance', 'Youth', 'Drama']",['Ko Jae Hong'],,16,"Feb 13, 2020 - Apr  4, 2020","Thursday, Saturday","['tvN', 'vLive']",23 min.,15+ - Teens 15 or older,#3604,#1731,"9,310"
Soul Mechanic(2020),영혼수선공,7.8,"['Comedy', 'Romance', 'Drama', 'Medical']",['Yoo Hyun Ki'],['Lee Hyang Hee'],32,"May  6, 2020 - Jun 25, 2020","Wednesday, Thursday",['KBS2'],35 min.,15+ - Teens 15 or older,#3686,#1583,"10,302"
User Not Found(2021),@계정을 삭제하였습니다,7.8,"['Romance', 'Youth', 'Drama']","['Min Ji Young', 'Lim Min Young']",,22,"Dec  3, 2021 - Feb 12, 2022","Friday, Saturday",,15 min.,15+ - Teens 15 or older,#3849,#1567,"10,386"
The Deal(2023),거래,7.8,"['Thriller', 'Crime', 'Drama']",['Lee Jung Gon'],['Hong Jong Seong'],8,"Oct  6, 2023 - Oct 27, 2023",Friday,['Wavve'],45 min.,15+ - Teens 15 or older,#3838,#2513,"5,896"
